Area Code: 2016,censusURL_2016,censusURL_2021,sal_id,suburb,postcode,state,state_name,type,lga,statistic_area,elevation,sqkm,lat,lng,timezone,govLvl
SSC13376,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13376,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13391,SAL13391,Rock Flat,2630,NSW,New South Wales,Rural locality,Snowy Monaro Regional,Rest of NSW,956,213.056,-36.38021,149.22405,Australia/Sydney,state suburbs
SSC13507,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13507,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13522,SAL13522,Scotts Flat,2330,NSW,New South Wales,Rural locality,Singleton,Rest of NSW,34,7.349,-32.60397,151.24613,Australia/Sydney,state suburbs
SSC21553,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21553,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL21563,SAL21563,Macks Creek,3971,VIC,Victoria,Rural locality,Wellington,Rest of VIC,299,32.434,-38.46578,146.61213,Australia/Melbourne,state suburbs
SSC13529,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13529,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13544,SAL13544,Shark Creek,2463,NSW,New South Wales,Rural locality,Clarence Valley,Rest of NSW,48,51.774,-29.57508,153.22074,Australia/Sydney,state suburbs
SSC33085,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC33085,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL33055,SAL33055,Wharps,4850,QLD,Queensland,Rural locality,Hinchinbrook,Rest of QLD,30,110.24,-18.7282,146.06871,Australia/Brisbane,state suburbs
SSC21965,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21965,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21977,SAL21977,Nowie,3585,VIC,Victoria,Rural locality,Swan Hill,Rest of VIC,67,125.784,-35.32766,143.28456,Australia/Melbourne,state suburbs
SSC13567,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13567,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13583,SAL13583,Snowy Plain,2628,NSW,New South Wales,Rural locality,Snowy Monaro Regional,Rest of NSW,1425,103.873,-36.15679,148.52089,Australia/Sydney,state suburbs
SSC12095,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC12095,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL12103,SAL12103,Kempsey,2440,NSW,New South Wales,Urban locality,Kempsey,Rest of NSW,0,6.982,-31.06195,152.8516,Australia/Sydney,state suburbs
SSC13604,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13604,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13620,SAL13620,Southgate,2460,NSW,New South Wales,Rural locality,Clarence Valley,Rest of NSW,20,35.144,-29.5995,153.00524,Australia/Sydney,state suburbs
SSC32335,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC32335,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL32313,SAL32313,Pikes Creek,4380,QLD,Queensland,Rural locality,Southern Downs,Rest of QLD,626,120.352,-28.72314,151.54183,Australia/Brisbane,state suburbs
SSC13248,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13248,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13260,SAL13260,Porters Creek,2538,NSW,New South Wales,Rural locality,Shoalhaven,Rest of NSW,517,28.545,-35.25585,150.32293,Australia/Sydney,state suburbs
SSC12098,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC12098,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL12106,SAL12106,Kennaicle Creek,2449,NSW,New South Wales,Rural locality,Bellingen,Rest of NSW,151,11.402,-30.5289,152.8177,Australia/Sydney,state suburbs
SSC13123,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13123,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL11369,SAL11369,Pages Creek,2337,NSW,New South Wales,Rural locality,Upper Hunter Shire,Rest of NSW,752,134.421,-31.71113,151.22564,Australia/Sydney,state suburbs
SSC13436,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13436,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13451,SAL13451,Ruby Creek,4380,NSW,New South Wales,Rural locality,Tenterfield,Rest of NSW,887,29.021,-28.62913,152.0218,Australia/Sydney,state suburbs
SSC13216,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13216,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13228,SAL13228,Pine Ridge,2343,NSW,New South Wales,Rural locality,Liverpool Plains,Rest of NSW,319,209.033,-31.52046,150.40465,Australia/Sydney,state suburbs
SSC13382,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13382,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13397,SAL13397,Rockton,2632,NSW,New South Wales,Rural locality,Snowy Monaro Regional,Rest of NSW,415,82.92,-37.17662,149.32029,Australia/Sydney,state suburbs
SSC31822,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC31822,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL31806,SAL31806,Mer Island,4875,QLD,Queensland,Urban locality,Torres Strait Island,Rest of QLD,115,4.072,-9.91696,144.05153,Australia/Brisbane,state suburbs
SSC13704,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13704,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13720,SAL13720,Swan Bay,2324,NSW,New South Wales,Rural locality,Port Stephens,Rest of NSW,38,31.64,-32.69854,151.93613,Australia/Sydney,state suburbs
SSC14206,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC14206,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL14223,SAL14223,Wean,2382,NSW,New South Wales,Rural locality,Gunnedah,Rest of NSW,286,220.724,-30.71593,150.26907,Australia/Sydney,state suburbs
SSC13708,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13708,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13723,SAL13723,Swanbrook,2360,NSW,New South Wales,Rural locality,Inverell,Rest of NSW,650,33.955,-29.7139,151.23567,Australia/Sydney,state suburbs
SSC12583,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC12583,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL12594,SAL12594,Merrigal,2827,NSW,New South Wales,Rural locality,Gilgandra,Rest of NSW,223,231.607,-31.48831,148.26062,Australia/Sydney,state suburbs
SSC13821,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13821,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13838,SAL13838,The Gap,2472,NSW,New South Wales,Rural locality,Richmond Valley,Rest of NSW,11,47.516,-29.18207,153.40831,Australia/Sydney,state suburbs
SSC13519,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13519,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL13534,SAL13534,Seven Oaks,2440,NSW,New South Wales,Rural locality,Kempsey,Rest of NSW,2,5.143,-30.99955,152.93035,Australia/Sydney,state suburbs
SSC13987,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13987,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL14005,SAL14005,Twelve Mile,2850,NSW,New South Wales,Rural locality,Mid-Western Regional,Rest of NSW,422,175.359,-32.52452,149.25191,Australia/Sydney,state suburbs
SSC13988,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC13988,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL14006,SAL14006,Twelve Mile Creek,2324,NSW,New South Wales,Rural locality,Port Stephens,Rest of NSW,66,22.67,-32.63975,151.87153,Australia/Sydney,state suburbs
SSC11788,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC11788,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL11794,SAL11794,Growee,2849,NSW,New South Wales,Rural locality,Mid-Western Regional,Rest of NSW,690,72.282,-32.64589,150.09238,Australia/Sydney,state suburbs
SSC14095,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC14095,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL14113,SAL14113,Waldegrave,2800,NSW,New South Wales,Rural locality,Cabonne,Rest of NSW,906,10.151,-33.43921,149.04907,Australia/Sydney,state suburbs
SSC14048,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC14048,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL14066,SAL14066,Upper Wilsons Creek,2482,NSW,New South Wales,Rural locality,Byron,Rest of NSW,493,9.334,-28.52686,153.38184,Australia/Sydney,state suburbs
SSC14369,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC14369,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL14387,SAL14387,Wonboyn,2551,NSW,New South Wales,Rural locality,Bega Valley,Rest of NSW,10,22.175,-37.25588,149.93485,Australia/Sydney,state suburbs
SSC14370,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC14370,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL14388,SAL14388,Wonboyn North,2551,NSW,New South Wales,Rural locality,Bega Valley,Rest of NSW,147,71.595,-37.19869,149.90497,Australia/Sydney,state suburbs
SSC22850,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC22850,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL22865,SAL22865,Worrowing,3858,VIC,Victoria,Rural locality,Wellington,Rest of VIC,682,77.826,-37.6713,146.74044,Australia/Melbourne,state suburbs
SSC20066,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20066,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL20067,SAL20067,Armstrong,3377,VIC,Victoria,Rural locality,Ararat,Rest of VIC,297,19.185,-37.21342,142.8833,Australia/Melbourne,state suburbs
SSC20105,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20105,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL20106,SAL20106,Bald Hills,3364,VIC,Victoria,Rural locality,Ballarat,Rest of VIC,439,11.113,-37.44503,143.83538,Australia/Melbourne,state suburbs
SSC21139,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21139,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21148,SAL21148,Haven,3401,VIC,Victoria,Urban locality,Horsham,Rest of VIC,138,27.609,-36.7616,142.18884,Australia/Melbourne,state suburbs
SSC20226,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20226,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL20227,SAL20227,Bete Bolong,3888,VIC,Victoria,Rural locality,East Gippsland,Rest of VIC,120,135.636,-37.68794,148.31088,Australia/Melbourne,state suburbs
SSC20274,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20274,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL20275,SAL20275,Bolwarrah,3352,VIC,Victoria,Rural locality,Moorabool,Rest of VIC,658,21.446,-37.50896,144.11105,Australia/Melbourne,state suburbs
SSC20409,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20409,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL20411,SAL20411,Bunyip,3815,VIC,Victoria,Urban locality,Cardinia,Greater Melbourne,38,24.237,-38.10205,145.7225,Australia/Melbourne,state suburbs
SSC20410,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20410,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL20412,SAL20412,Bunyip North,3815,VIC,Victoria,Rural locality,Cardinia,Greater Melbourne,62,16.774,-38.06247,145.72551,Australia/Melbourne,state suburbs
SSC20436,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20436,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL20438,SAL20438,Cabbage Tree,3364,VIC,Victoria,Rural locality,Hepburn,Rest of VIC,500,10.423,-37.46025,143.89818,Australia/Melbourne,state suburbs
SSC20437,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20437,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL20439,SAL20439,Cabbage Tree Creek,3889,VIC,Victoria,Rural locality,East Gippsland,Rest of VIC,211,300.507,-37.65679,148.71305,Australia/Melbourne,state suburbs
SSC20446,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20446,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL20448,SAL20448,Callignee North,3844,VIC,Victoria,Rural locality,Wellington,Rest of VIC,188,39.618,-38.30119,146.63621,Australia/Melbourne,state suburbs
SSC20496,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20496,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL20499,SAL20499,Carngham,3351,VIC,Victoria,Rural locality,Pyrenees,Rest of VIC,368,69.531,-37.55985,143.58847,Australia/Melbourne,state suburbs
SSC10821,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC10821,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL10820,SAL10820,Carnham,2460,NSW,New South Wales,Rural locality,Clarence Valley,Rest of NSW,303,63.587,-29.34849,152.58482,Australia/Sydney,state suburbs
SSC20059,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20059,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL20060,SAL20060,Archerton,3723,VIC,Victoria,Rural locality,Benalla,Rest of VIC,806,78.971,-36.87342,146.2114,Australia/Melbourne,state suburbs
SSC21120,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC21120,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL21128,SAL21128,Hallston,3953,VIC,Victoria,Rural locality,South Gippsland,Rest of VIC,180,49.435,-38.36341,146.04241,Australia/Melbourne,state suburbs
SSC20540,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20540,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL20543,SAL20543,Cheshunt,3678,VIC,Victoria,Rural locality,Wangaratta,Rest of VIC,347,160.862,-36.8276,146.41847,Australia/Melbourne,state suburbs
SSC20541,https://www.abs.gov.au/census/find-census-data/quickstats/2016/SSC20541,https://www.abs.gov.au/census/find-census-data/quickstats/2021/SAL20544,SAL20544,Cheshunt South,3678,VIC,Victoria,Rural locality,Wangaratta,Rest of VIC,518,54.298,-36.93477,146.41616,Australia/Melbourne,state suburbs
