suburb,state,type,lga,num_page_by_lga,policy_names_by_lga
Maitland Bar,NSW,Rural locality,Mid-Western Regional,92,['2022 Annual Report - NCCP']
Mongogarie,NSW,Rural locality,Richmond Valley,27,['Sustainable Communities Strategy 2023-2028']
Upper Mongogarie,NSW,Rural locality,Richmond Valley,27,['Sustainable Communities Strategy 2023-2028']
Red Rocks,NSW,Rural locality,Shoalhaven,5,['Sustainability and Climate Policy']
Main Creek,NSW,Rural locality,Dungog,318,['Council Meeting Document 2023']
Mares Run,NSW,Rural locality,Mid-Coast,201,"['Climate Change Policy 1', 'Climate Action Strategy Final Report -v8']"
Murwillumbah,NSW,Urban locality,Tweed,168,"['interim-climate-change-action-plan', 'environmental-sustainability-prioritisation-strategy-2015', 'renewable-energy-action-plan-tweed-shire-council-facilities-october-2017', 'climate-ready-tweed-final-report-july-2023', 'climate-action-community-readiness-survey-summary']"
Nelse,VIC,Rural locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Sapphire,NSW,Rural locality,Inverell,12,['ISC Environmental Sustainability Plan']
Norville,QLD,Urban locality,Bundaberg,45,"['ECO-Certification-Incentive-Scheme-Policy', 'Towards-Net-Zero-Bundaberg-and-FAQ', 'Towards-Net-Zero-Bundaberg-Policy-V1.1', 'Sustainable-Bundaberg-2030-Strategy']"
Bourke,NSW,Urban locality,Bourke,258,['ANNUAL REPORT 2021-2022 NCCP']
North Bourke,NSW,Rural locality,Bourke,258,['ANNUAL REPORT 2021-2022 NCCP']
Orient,QLD,Rural locality,Hinchinbrook,92,['annual_report_2021-2022NCCP']
Oxley,NSW,Rural locality,Balranald,50,['Balranald Community Development Plan NCCP']
Pimlico Island,NSW,Rural locality,Ballina,47,"['Climate Change Policy', 'Community Climate Change Survey Report July 2021']"
Saumarez,NSW,Rural locality,Uralla,39,['annual-report-2021-2022-NCCP']
Rouchel,NSW,Rural locality,Upper Hunter Shire,53,"['Climate Change Strategy', 'Sustainability Action Plan']"
Salisbury,NSW,Rural locality,Dungog,318,['Council Meeting Document 2023']
Sandon,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
The Sandon,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Saumarez Ponds,NSW,Rural locality,Uralla,39,['annual-report-2021-2022-NCCP']
Scotts Flat,NSW,Rural locality,Singleton,8,['Singleton Sustainability Strategy 2019 - 2027']
Porters Creek,NSW,Rural locality,Shoalhaven,5,['Sustainability and Climate Policy']
Rock Flat,NSW,Rural locality,Snowy Monaro Regional,104,['annual-report-2021-2022NCCP']
Kennaicle Creek,NSW,Rural locality,Bellingen,35,"['Climate Emergency Response Framework', 'Bellingen Shire Community Climate Action Plan 2022']"
Macks Creek,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Shark Creek,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Wharps,QLD,Rural locality,Hinchinbrook,92,['annual_report_2021-2022NCCP']
Swan Bay,NSW,Rural locality,Port Stephens,15,"['Climate-Change-Policy', 'Environment-Policy']"
Snowy Plain,NSW,Rural locality,Snowy Monaro Regional,104,['annual-report-2021-2022NCCP']
Kempsey,NSW,Urban locality,Kempsey,21,['Kempsey Sustainability Resilience Strategy-2022']
Southgate,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Pikes Creek,QLD,Rural locality,Southern Downs,64,"['Southern-Downs-Environmental-Sustainability-StrategyFINAL', 'ESS-Action-Plan', 'Climate-Change-Adaptation-Action-Plan']"
Swanbrook,NSW,Rural locality,Inverell,12,['ISC Environmental Sustainability Plan']
Merrigal,NSW,Rural locality,Gilgandra,19,['2021-22-Annual-report-NCCP']
Pages Creek,NSW,Rural locality,Upper Hunter Shire,53,"['Climate Change Strategy', 'Sustainability Action Plan']"
Ruby Creek,NSW,Rural locality,Tenterfield,71,['Annual Report 2021-2022 - NCCP']
Pine Ridge,NSW,Rural locality,Liverpool Plains,197,['Annual Report 2021-2022 NCCP']
Rockton,NSW,Rural locality,Snowy Monaro Regional,104,['annual-report-2021-2022NCCP']
Mer Island,QLD,Urban locality,Torres Strait Island,7,"['Climate Change Class Action - Pabai Pabai & Uncle Pail Kabai v Aust Government 2023 ', 'Terms of Reference for the Climate Change Adaptation and Environment Committee - November 2021']"
The Gap,NSW,Rural locality,Richmond Valley,27,['Sustainable Communities Strategy 2023-2028']
Wean,NSW,Rural locality,Gunnedah,69,['Future Plan 2040 - Gunnedah Shire ']
Seven Oaks,NSW,Rural locality,Kempsey,21,['Kempsey Sustainability Resilience Strategy-2022']
Twelve Mile Creek,NSW,Rural locality,Port Stephens,15,"['Climate-Change-Policy', 'Environment-Policy']"
Moolpa,NSW,Rural locality,Murray River,4,['How Adapting to a Changing Climate Builds Social Capital']
Bolong,NSW,Rural locality,Shoalhaven,5,['Sustainability and Climate Policy']
Twelve Mile,NSW,Rural locality,Mid-Western Regional,92,['2022 Annual Report - NCCP']
Neville,NSW,Rural locality,Blayney,32,['Community Strategic Plan April 2022']
Growee,NSW,Rural locality,Mid-Western Regional,92,['2022 Annual Report - NCCP']
Waldegrave,NSW,Rural locality,Cabonne,74,['Cabonne Recovery Plan']
Upper Wilsons Creek,NSW,Rural locality,Byron,126,"['BSC Climate Change Adaptation Plan', 'W2018-368-climate-change-strategic-planning-policy', 'Net-Zero-Emissions-Action-Plan-For-Council-Operations-2025', 'Net-Zero-Emissions-Strategy-for-Council-Operations-2025', '2021-22-Annual-inventory-of-Councils-emissions-profile-all-scopes-Final']"
Wonboyn,NSW,Rural locality,Bega Valley,204,"['Climate Change Risk Assessment Adaptation Report 2010', 'Bega Valley Shire Climate Resilience Strategy 2025']"
Wonboyn North,NSW,Rural locality,Bega Valley,204,"['Climate Change Risk Assessment Adaptation Report 2010', 'Bega Valley Shire Climate Resilience Strategy 2025']"
Worrowing,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Abington,NSW,Rural locality,Uralla,39,['annual-report-2021-2022-NCCP']
Bald Hills,VIC,Rural locality,Ballarat,71,"['Carbon-Neutrality-&-100pc-Renewables-Action-Plan', 'City of Ballarat Net Zero Emissions Plan', 'City of Ballarat Biodiversity Vision and Commitment']"
Haven,VIC,Urban locality,Horsham,65,['HRCC Environment Sustainability Strategy']
Bete Bolong,VIC,Rural locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Bolwarrah,VIC,Rural locality,Moorabool,61,['Sustainable-Environment-Strategy-2016-26']
Bunyip,VIC,Urban locality,Cardinia,436,"['Sustainable-Environment-Policy-2018-28', 'Biodiversity-Conservation-Strategy-2019-29', 'Climate-Change-Adaptation-Strategy-2022-2023', 'Cardinia-Shire-Biolink-Plan-2023-33', 'Aspirational-Energy-Transition-Plan-2014-24', 'Council-Enhanced-Standard-Sustainable-Buildings-2020-to-2026', 'Waste-and-Resource-Recovery-Strategy-2017-2026', 'Integrated-Water-Management-Plan', 'Climate-Change-Adaptation-Strategy-Action-plan']"
Bunyip North,VIC,Rural locality,Cardinia,436,"['Sustainable-Environment-Policy-2018-28', 'Biodiversity-Conservation-Strategy-2019-29', 'Climate-Change-Adaptation-Strategy-2022-2023', 'Cardinia-Shire-Biolink-Plan-2023-33', 'Aspirational-Energy-Transition-Plan-2014-24', 'Council-Enhanced-Standard-Sustainable-Buildings-2020-to-2026', 'Waste-and-Resource-Recovery-Strategy-2017-2026', 'Integrated-Water-Management-Plan', 'Climate-Change-Adaptation-Strategy-Action-plan']"
Cabbage Tree,VIC,Rural locality,Hepburn,155,"['final-sustainable-hepburn-strategy', 'toward-zero-emissions-road-map', 'central-highlands-climate-projections-2019']"
Cabbage Tree Creek,VIC,Rural locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Callignee North,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Carngham,VIC,Rural locality,Pyrenees,96,"['2023.04 Asset Management Policy', '2021.02.21 Climate Change Response Mitigation Plan', 'Environmental Sustainability Strategy 2011', 'Biodiversity Action Plan - 2016']"
Carnham,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Archerton,VIC,Rural locality,Benalla,57,"['Climate Change Adaptation Action Plan 2013-2025 Information sheet', 'Council Plan 2021-2025 ', 'BRCC Action Plan 2021-25 to June 2023', 'We Live in a Changing Climate Information sheet']"
Hallston,VIC,Rural locality,South Gippsland,100,"['Environmental-Sustainbility-Strategy-Framework-Adopted-16-June-2021', 'Council-Plan-2022-2026-2023-24-Initiatives', 'Climate-Change-Action-Plan', 'Coastal-Strategy']"
Cheshunt,VIC,Rural locality,Wangaratta,61,"['Climate-Mitigation-Adaptation-Policy', 'Urban-Tree-Plan', 'Environmental-Sustainability-Strategy-2021-26']"
Cheshunt South,VIC,Rural locality,Wangaratta,61,"['Climate-Mitigation-Adaptation-Policy', 'Urban-Tree-Plan', 'Environmental-Sustainability-Strategy-2021-26']"
Creswick,VIC,Rural locality,Ballarat,71,"['Carbon-Neutrality-&-100pc-Renewables-Action-Plan', 'City of Ballarat Net Zero Emissions Plan', 'City of Ballarat Biodiversity Vision and Commitment']"
Creswick North,VIC,Rural locality,Hepburn,155,"['final-sustainable-hepburn-strategy', 'toward-zero-emissions-road-map', 'central-highlands-climate-projections-2019']"
Calgoa,QLD,Rural locality,Fraser Coast,91,"['Threatened-species-action-plan-2019', 'Marine-Turtles-A4', 'Wood-Encouragement-Council-Policy', 'Marine-Values-A4', 'Unauthorised-Vegetation-Damage-on-Council-Land-Council-Policy', '2022-23-Operational-Plan']"
Alison,NSW,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Keepit,NSW,Rural locality,Gunnedah,69,['Future Plan 2040 - Gunnedah Shire ']
Boola,VIC,Rural locality,Baw Baw,82,"['Council Plan 2021-2025 Annual review 2023-2024', 'Environmental Sustainability Strategy 2022-2030', 'Building Resistance Guide BBSC']"
Dimboola,VIC,Urban locality,Hindmarsh,212,['Climate change adaptation strategy -2012']
Glendonald,VIC,Rural locality,Ballarat,71,"['Carbon-Neutrality-&-100pc-Renewables-Action-Plan', 'City of Ballarat Net Zero Emissions Plan', 'City of Ballarat Biodiversity Vision and Commitment']"
Eaglehawk,VIC,Urban locality,Greater Bendigo,325,"['City-Greater-Bendigo-Climate-Change-Environment-Strategy-2021-2026', 'City-Greater-Bendigo-Summary-Climate-Change-Environment-Strategy-2021-2026', 'Greater-Bendigo-2030-Zero-Emissions-Roadmap', 'City-Greater-Bendigo-Biodiversity-Strategy-and-Action-Plan-2023-2033', 'City-of-Greater-Bendigo-Zero-Emissions-Plan-Council-Operations', 'City-Greater-Bendigo-Annual-Environment-Report-2021-2022', 'City-Greater-Bendigo-Building-Resilience-Making-Homes-Climate-Ready']"
Eaglehawk North,VIC,Rural locality,Greater Bendigo,325,"['City-Greater-Bendigo-Climate-Change-Environment-Strategy-2021-2026', 'City-Greater-Bendigo-Summary-Climate-Change-Environment-Strategy-2021-2026', 'Greater-Bendigo-2030-Zero-Emissions-Roadmap', 'City-Greater-Bendigo-Biodiversity-Strategy-and-Action-Plan-2023-2033', 'City-of-Greater-Bendigo-Zero-Emissions-Plan-Council-Operations', 'City-Greater-Bendigo-Annual-Environment-Report-2021-2022', 'City-Greater-Bendigo-Building-Resilience-Making-Homes-Climate-Ready']"
Budgerum East,VIC,Rural locality,Gannawarra,49,"['Climate Change Policy - 146', 'Climate Change Strategy']"
Laen East,VIC,Rural locality,Buloke,59,"['Buloke Shire Climate Change Mitigation Adaptation Report', 'Buloke Shire Climate Action Plan ']"
Lake Eildon,VIC,Rural locality,Mansfield,41,['Climate Action Plan']
Eppalock,VIC,Rural locality,Greater Bendigo,325,"['City-Greater-Bendigo-Climate-Change-Environment-Strategy-2021-2026', 'City-Greater-Bendigo-Summary-Climate-Change-Environment-Strategy-2021-2026', 'Greater-Bendigo-2030-Zero-Emissions-Roadmap', 'City-Greater-Bendigo-Biodiversity-Strategy-and-Action-Plan-2023-2033', 'City-of-Greater-Bendigo-Zero-Emissions-Plan-Council-Operations', 'City-Greater-Bendigo-Annual-Environment-Report-2021-2022', 'City-Greater-Bendigo-Building-Resilience-Making-Homes-Climate-Ready']"
Lake Eppalock,VIC,Rural locality,Greater Bendigo,325,"['City-Greater-Bendigo-Climate-Change-Environment-Strategy-2021-2026', 'City-Greater-Bendigo-Summary-Climate-Change-Environment-Strategy-2021-2026', 'Greater-Bendigo-2030-Zero-Emissions-Roadmap', 'City-Greater-Bendigo-Biodiversity-Strategy-and-Action-Plan-2023-2033', 'City-of-Greater-Bendigo-Zero-Emissions-Plan-Council-Operations', 'City-Greater-Bendigo-Annual-Environment-Report-2021-2022', 'City-Greater-Bendigo-Building-Resilience-Making-Homes-Climate-Ready']"
Glen Isla,QLD,Rural locality,Whitsunday,48,"['Climate Change Adaptation Policy', '11-ClimateAdaptationStrategy2016-2020', 'Climate Change Mitigation Strategy', 'Cilmate Change Mitigation Policy']"
Jeeralang,VIC,Rural locality,Latrobe,55,"['LCC-Position-on-Climate-Change', 'Positioning-Latrobe-City-for-a-Low-Carbon-Emissions-Future-Policy', 'Natural-Environment-Sustainability-Strategy-2014-2019']"
Kerang,VIC,Rural locality,Gannawarra,49,"['Climate Change Policy - 146', 'Climate Change Strategy']"
Kerang East,VIC,Rural locality,Gannawarra,49,"['Climate Change Policy - 146', 'Climate Change Strategy']"
Fielding,QLD,Rural locality,Carpentaria,164,"['Carpentaria Shire Coastal Hazard Adaptation Strategy', 'Carpentaria Shire Coastal Hazard Adaptation Strategy Supplement A Factsheets and Project Updates v2', 'Carpentaria Shire Coastal Hazard Adaptation Strategy Our Shared Values', 'Carpentaria Shire Local Disaster Management Plan AUG22-1']"
Langsborough,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Lake Tyrrell,VIC,Rural locality,Buloke,59,"['Buloke Shire Climate Change Mitigation Adaptation Report', 'Buloke Shire Climate Action Plan ']"
Tyrrell,VIC,Rural locality,Buloke,59,"['Buloke Shire Climate Change Mitigation Adaptation Report', 'Buloke Shire Climate Action Plan ']"
Port Victoria,SA,Rural locality,Yorke Peninsula,166,"['PO162-Tree-Management-Policy', 'Publication-2021-2022-Annual-Report-Final']"
Langley,VIC,Rural locality,Mount Alexander,374,"['roadmap-to-carbon-neutrality-2020', 'residents-and-ratepayers-aug-2020-Climate-Change-Forum_Submissions', 'business-and-organisations-dec-2019-Climate-Change-Forum-Submissions', 'climate-change-strategy', 'environment-strategy-2015-2025', 'climate-change-strategy-action-plan-2023-2024', 'municipal-health-wellbeing-plan-2021-2025-october-2021', 'Community-Climate-Transition-Plan-230220']"
Icy Creek,VIC,Rural locality,Baw Baw,82,"['Council Plan 2021-2025 Annual review 2023-2024', 'Environmental Sustainability Strategy 2022-2030', 'Building Resistance Guide BBSC']"
Merbein,VIC,Urban locality,Mildura,163,"['Draft-Community-Climate-Response-Plan-2023-2028', 'Annual-Environmental-Sustainability-Report-2021-2022', 'Electric-Vehicle-Charging-Infrastructure-Policy-CP053', 'Environmental-Sustainability-and-Climate-Change-Policy', 'Water-Management-Policy-CP024', 'Towards-Zero-Emissions-Strategy-2021-2050', 'Community-Health-and-Wellbeing-Plan-2021-2025-Final']"
Mirboo,VIC,Rural locality,Latrobe,55,"['LCC-Position-on-Climate-Change', 'Positioning-Latrobe-City-for-a-Low-Carbon-Emissions-Future-Policy', 'Natural-Environment-Sustainability-Strategy-2014-2019']"
Mirboo North,VIC,Urban locality,South Gippsland,100,"['Environmental-Sustainbility-Strategy-Framework-Adopted-16-June-2021', 'Council-Plan-2022-2026-2023-24-Initiatives', 'Climate-Change-Action-Plan', 'Coastal-Strategy']"
Aratula,NSW,Rural locality,Murray River,4,['How Adapting to a Changing Climate Builds Social Capital']
Moorabbin,VIC,Major Urban locality,Kingston,340,"['climate-and-ecological-emergency-response-plan', 'kingston’s-integrated-water-strategy-nov-2022', 'kingstons-coastal-and-marine-management-plan-2023-v2', 'urban-cooling-strategy-final', 'public-health-and-wellbeing-plan-2021-2025', 'walking-and-cycling-plan', 'kingston-procurement-policy-local-government-act-2020-effective-31-december-2021']"
Barry,NSW,Rural locality,Blayney,32,['Community Strategic Plan April 2022']
Mount Bute,VIC,Rural locality,Corangamite,93,"['Corangamite Shire Environment & Sustainability Strategy 2014-2019', 'Urban Street Trees Management Policy', 'Community Vision Plan 2040']"
Buller,WA,Rural locality,Chapman Valley,77,['Annual Report 2021-2022 NCCP']
Marinna,NSW,Rural locality,Junee,18,['Firewood-Policy-and-Guidelines']
Bomaderry,NSW,Urban locality,Shoalhaven,5,['Sustainability and Climate Policy']
Bonshaw,NSW,Rural locality,Inverell,12,['ISC Environmental Sustainability Plan']
Hansonville,VIC,Rural locality,Wangaratta,61,"['Climate-Mitigation-Adaptation-Policy', 'Urban-Tree-Plan', 'Environmental-Sustainability-Strategy-2021-26']"
Pomborneit North,VIC,Rural locality,Corangamite,93,"['Corangamite Shire Environment & Sustainability Strategy 2014-2019', 'Urban Street Trees Management Policy', 'Community Vision Plan 2040']"
Earlston,VIC,Rural locality,Strathbogie,87,"['Item - 9.2.6 Attachment-1-Climate-Change-Action-Plan', 'FAQs and Key Informant Insights Young', 'Sustainable Strathbogie 2030']"
Moonbria,NSW,Rural locality,Edward River,52,['Agribusiness Strategy NCCP']
Ada,VIC,Rural locality,Baw Baw,82,"['Council Plan 2021-2025 Annual review 2023-2024', 'Environmental Sustainability Strategy 2022-2030', 'Building Resistance Guide BBSC']"
East Sale,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Lara,VIC,Urban locality,Greater Geelong,190,"['climate change response plan final', 'sustainability policy-adopted 2february2021', 'sustainability performance report 2022', ' 2023-24 environmental sustainability grant guidelines', 'environment strategy 2020-30', 'sustainability framework 2020', 'our community plan 2021-25', 'environment strategy action plan 2020-2022']"
The Common,QLD,Urban locality,Rockhampton,73,"['RRC-Sustainability-Strategy-2022-2030', 'RRC-ES-FY22-23-Year-in-Review', 'RRC-Environmental-Sustainability-Strategy-Year-in-Review-2021-22', 'Environmental-Sustainability-Policy-V3-Reviewed-10-December-2019', 'Fleet-Vehicle-Greenhouse-Gas-Emissions-Reduction-Policy-V2-Reviewed-18-December-2019']"
Triamble,NSW,Rural locality,Mid-Western Regional,92,['2022 Annual Report - NCCP']
Licola North,VIC,Rural locality,Mansfield,41,['Climate Action Plan']
Licola,VIC,Rural locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Broke,NSW,Rural locality,Singleton,8,['Singleton Sustainability Strategy 2019 - 2027']
Sandy Point,VIC,Rural locality,South Gippsland,100,"['Environmental-Sustainbility-Strategy-Framework-Adopted-16-June-2021', 'Council-Plan-2022-2026-2023-24-Initiatives', 'Climate-Change-Action-Plan', 'Coastal-Strategy']"
Teal Point,VIC,Rural locality,Gannawarra,49,"['Climate Change Policy - 146', 'Climate Change Strategy']"
Powers Creek,VIC,Rural locality,West Wimmera,164,['2021-2022-Annual-Report-Final-NCCP']
Broughton,NSW,Rural locality,Shoalhaven,5,['Sustainability and Climate Policy']
Hay Flat,SA,Rural locality,Yankalilla,200,['Annual-Report-2022-FINAL-v.6']
Bulga,NSW,Rural locality,Singleton,8,['Singleton Sustainability Strategy 2019 - 2027']
Hepburn,VIC,Urban locality,Hepburn,155,"['final-sustainable-hepburn-strategy', 'toward-zero-emissions-road-map', 'central-highlands-climate-projections-2019']"
Shelbourne,VIC,Rural locality,Greater Bendigo,325,"['City-Greater-Bendigo-Climate-Change-Environment-Strategy-2021-2026', 'City-Greater-Bendigo-Summary-Climate-Change-Environment-Strategy-2021-2026', 'Greater-Bendigo-2030-Zero-Emissions-Roadmap', 'City-Greater-Bendigo-Biodiversity-Strategy-and-Action-Plan-2023-2033', 'City-of-Greater-Bendigo-Zero-Emissions-Plan-Council-Operations', 'City-Greater-Bendigo-Annual-Environment-Report-2021-2022', 'City-Greater-Bendigo-Building-Resilience-Making-Homes-Climate-Ready']"
Horfield,VIC,Rural locality,Gannawarra,49,"['Climate Change Policy - 146', 'Climate Change Strategy']"
Ullina,VIC,Rural locality,Hepburn,155,"['final-sustainable-hepburn-strategy', 'toward-zero-emissions-road-map', 'central-highlands-climate-projections-2019']"
Myall,VIC,Rural locality,Buloke,59,"['Buloke Shire Climate Change Mitigation Adaptation Report', 'Buloke Shire Climate Action Plan ']"
Meatian,VIC,Rural locality,Gannawarra,49,"['Climate Change Policy - 146', 'Climate Change Strategy']"
Homerton,VIC,Rural locality,Glenelg,110,['Environment Strategy 2010-2020']
Camira,NSW,Rural locality,Richmond Valley,27,['Sustainable Communities Strategy 2023-2028']
Enfield,VIC,Urban locality,Golden Plains,124,"['Climate Emergency Plan 2022-2032', 'MHWAPlan-2021', 'GPS Council Plan 21-25']"
Vervale,VIC,Rural locality,Cardinia,436,"['Sustainable-Environment-Policy-2018-28', 'Biodiversity-Conservation-Strategy-2019-29', 'Climate-Change-Adaptation-Strategy-2022-2023', 'Cardinia-Shire-Biolink-Plan-2023-33', 'Aspirational-Energy-Transition-Plan-2014-24', 'Council-Enhanced-Standard-Sustainable-Buildings-2020-to-2026', 'Waste-and-Resource-Recovery-Strategy-2017-2026', 'Integrated-Water-Management-Plan', 'Climate-Change-Adaptation-Strategy-Action-plan']"
Tremont,VIC,Major Urban locality,Yarra Ranges,297,"['Liveable-Climate-Plan-2020-2030', 'Liveable-Climate-Action-Plan', 'Yarra-Ranges-Council-Sustainability-Report-2021', 'Yarra-Ranges-Council-Sustainability-Report-2022-1', 'Health-and-Wellbeing-Plan-Action-Plan', 'Yarra-Ranges-Council-Asset-Management-Policy-2022-2032', 'Yarra-Ranges-EDS-Economic-Development-Strategy', 'Yarra-Ranges-Domestic-Animal-Management-Plan', 'Environment-Strategy', 'Health-and-Wellbeing-Plan']"
Stanley,VIC,Rural locality,Indigo,165,"['Climate-Change-Policy-2019', 'Indigo-Shire-Council-Plan-2021-2025', 'Municipal-Public-Health-and-Wellbeing-Action-Plan-2021-2025', 'Climate-emergency-strategic-action-plan', 'INDIGO-CLIMATE-CHANGE-ADAPTION-ACTION-PLAN-2017-21', 'Towards-Certified-Net-Zero-Indigo-Shire-Council', 'Greenhouse-Action-Plan', 'ENVIRONMENT-STRATEGY']"
Camp Creek,NSW,Rural locality,Inverell,12,['ISC Environmental Sustainability Plan']
Gannawarra,VIC,Rural locality,Gannawarra,49,"['Climate Change Policy - 146', 'Climate Change Strategy']"
Ayrford,VIC,Rural locality,Corangamite,93,"['Corangamite Shire Environment & Sustainability Strategy 2014-2019', 'Urban Street Trees Management Policy', 'Community Vision Plan 2040']"
Laen North,VIC,Rural locality,Buloke,59,"['Buloke Shire Climate Change Mitigation Adaptation Report', 'Buloke Shire Climate Action Plan ']"
Wangie,VIC,Rural locality,Buloke,59,"['Buloke Shire Climate Change Mitigation Adaptation Report', 'Buloke Shire Climate Action Plan ']"
Wannon,VIC,Rural locality,Southern Grampians,44,['Climate Adaptation Plan 2017-2027 FINAL']
Howes Creek,VIC,Rural locality,Mansfield,41,['Climate Action Plan']
Cascade,NSW,Rural locality,Bellingen,35,"['Climate Emergency Response Framework', 'Bellingen Shire Community Climate Action Plan 2022']"
Clydesdale,NSW,Rural locality,Singleton,8,['Singleton Sustainability Strategy 2019 - 2027']
